movieId,imdbId,tmdbId
2661,0045920,19483
2662,0046534,8974
2664,0049366,11549
2665,0049169,18158
2668,0084745,17918
2669,0053183,37305
2670,0052151,18784
2671,0125439,509
2672,0139809,1090
2674,0126859,15059
2676,0128278,12117
2677,0186508,11779
2681,0141105,13533
2682,0164085,62676
2683,0145660,817
2686,0120802,14283
2687,0120855,37135
2688,0144214,2275
2690,0122541,24137
2691,0120731,10376
2692,0130827,104
2693,0120370,15800
2694,0142342,9032
2695,0139898,13821
2696,0119038,9421
2697,0119743,55955
2698,0120554,67067
2699,0099052,6488
2700,0158983,9473
2701,0120891,8487
2702,0162677,10279
2706,0163651,2105
2707,0137363,1073
2708,0137439,10239
2709,0158811,10208
2710,0185937,2667
2712,0120663,345
2713,0139414,9825
2716,0087332,620
2717,0097428,2978
2718,0157503,10490
2719,0171363,11618
2720,0141369,332
2722,0149261,8914
2723,0132347,9824
2724,0163187,4806
2725,0162830,33430
2726,0049406,247
2727,0048254,10056
2728,0054331,967
2729,0056193,802
2730,0072684,3175
2731,0053198,147
2732,0055032,1628
2733,0096378,21185
2734,0091557,11120
2735,0091129,10136
2736,0090774,32060
2737,0092585,48686
2738,0090886,48259
2739,0088939,873
2740,0091343,48660
2741,0091637,26789
2742,0092068,3934
2743,0091613,108312
2744,0091699,198469
2745,0091530,11416
2746,0091419,10776
2747,0054033,24452
2748,0092534,9710
2749,0091554,31924
2750,0093818,30890
2751,0093051,24081
2752,0093690,20242
2754,0092850,66194
2757,0083967,3526
2759,0144168,16406
2761,0129167,10386
2762,0167404,745
2763,0155267,913
2764,0063688,912
2765,0122515,12229
2766,0168449,67323
2769,0138946,19457
2770,0131325,11353
2771,0120620,17707
2772,0165710,9781
2774,0168987,18212
2775,0138487,13817
2779,0077663,12185
2782,0055304,28501
2784,0058333,25319
2786,0091178,24103
2787,0088889,10552
2788,0066765,9267
2789,0077394,10766
2790,0082377,10768
2791,0080339,813
2792,0083530,2665
2793,0118604,9406
2794,0089670,11418
2795,0085995,11153
2796,0095188,14170
2797,0094737,2280
2798,0100419,11077
2799,0102719,28597
2800,0104740,22611
2801,0119843,39780
2802,0096244,10396
2803,0107798,9944
2804,0085334,850
2805,0130121,10154
2806,0133046,10342
2807,0176269,10366
2808,0105698,9349
2810,0156887,10494
2812,0160401,22314
2813,0181833,51679
2815,0091278,11037
2816,0095382,11955
2817,0103617,2038
2818,0113438,28737
2819,0073802,11963
2820,0058175,141489
2822,0104839,9096
2824,0181733,113273
2826,0120657,1911
2827,0138304,2900
2828,0160236,17709
2829,0164108,37718
2835,0163579,2162
2836,0125971,14578
2837,0126810,40694
2839,0157183,49184
2840,0145531,10307
2841,0164181,11601
2843,0118843,1075
2844,0151582,21719
2846,0097050,47951
2847,0031762,43832
2848,0045251,47697
2851,0081454,
2852,0088146,26522
2856,0059297,28295
2857,0063823,12105
2858,0169547,14
2859,0088178,24128
2860,0181316,11001
2861,0126916,10390
2862,0080491,9453
2863,0058182,704
2865,0173390,142132
2866,0077280,24153
2867,0089175,11797
2868,0097390,18086
2870,0061385,17887
2871,0068473,10669
2872,0082348,11527
2874,0050814,40867
2875,0108185,1049
2876,0111419,28032
2877,0073812,11326
2878,0082511,28377
2879,0099558,10975
2880,0091431,10974
2881,0150377,10398
2882,0120716,2290
2883,0140397,24071
2884,0129884,62994
2885,0160338,60994
2886,0159421,16112
2887,0168172,32305
2888,0164114,14429
2889,0134618,15198
2890,0120188,6415
2891,0162360,24066
2892,0133122,21430
2893,0134033,10381
2894,0194314,171982
2896,0060095,60285
2897,0087188,5622
2898,0106664,10349
2899,0031397,42518
2900,0095652,29787
2901,0079714,9638
2902,0086154,10576
2903,0091799,12662
2905,0056443,11712
2906,0156934,12618
2907,0167427,13824
2908,0171804,226
2912,0165854,10388
2915,0086200,9346
2916,0100802,861
2917,0082089,14412
2918,0091042,9377
2919,0086617,11541
2921,0068699,11901
2922,0061747,4929
2924,0080179,11230
2925,0065571,8416
2926,0095270,11054
2927,0037558,851
2928,0087980,24453
2929,0082979,18254
2930,0176093,56235
2931,0097223,20123
2932,0077405,16642
2935,0033804,3086
2936,0034240,16305
2937,0035169,32255
2939,0046126,19997
2940,0038559,3767
2941,0052225,17352
2942,0085549,535
2943,0104507,2731
2944,0061578,1654
2946,0059260,14831
2947,0058150,658
2948,0057076,657
2949,0055928,646
2950,0080453,5689
2951,0058461,391
2952,0119256,8052
2953,0104431,772
2956,0094008,31650
2959,0137523,550
2961,0160916,12220
2962,0119114,1610
2964,0192194,42881
2965,0203408,29064
2966,0166896,404
2967,0048977,42196
2968,0081633,36819
2969,0061138,42726
2970,0083946,9343
2971,0078754,16858
2972,0093206,42006
2973,0097123,11562
2974,0200469,10496
2975,0168501,16162
2976,0163988,8649
2977,0142201,31306
2978,0144640,10563
2979,0172627,14484
2982,0099710,32043
2983,0059319,15247
2984,0067527,29251
2985,0093870,5548
2986,0100502,5549
2987,0096438,856
2988,0081150,38772
2989,0082398,699
2990,0097742,709
2991,0070328,253
2992,0091829,13511
2993,0059800,660
2995,0185371,11377
2996,0166943,26149
2997,0120601,492
3000,0119698,128
3002,0200849,8672
3003,0170705,8056
3004,0120596,2020
3005,0145681,9481
3006,0140352,9008
3007,0181288,14242
3008,0156729,16129
3010,0200071,11489
3011,0065088,28145
3013,0099180,18111
3014,0082121,31361
3015,0077355,11223
3016,0083767,16281
3017,0092796,16288
3018,0089885,1694
3019,0097240,476
3020,0106856,37094
3021,0082427,13555
3022,0017925,961
3024,0078087,24831
3028,0061407,25560
3029,0082817,21610
3030,0055630,11878
3031,0100475,11510
3032,0067525,11234
3033,0094012,957
3034,0070608,11886
3035,0048380,37853
3036,0082484,62204
3037,0065988,11040
3038,0050371,21849
3039,0086465,1621
3040,0079540,14035
3041,0087700,40771
3042,0093516,40772
3043,0104837,40773
3044,0101669,11498
3045,0105130,11790
3046,0113416,29371
3048,0083254,47941
3051,0149691,21349
3052,0120655,1832
3053,0151137,10047
3054,0190641,10228
3055,0165773,47692
3056,0160620,18561
3057,0118150,144953
3060,0101605,11663
3061,0034862,13485
3062,0056197,9289
3063,0105156,9264
3064,0119908,18222
3066,0066473,11165
3067,0095675,4203
3068,0084855,24226
3070,0086856,11379
3071,0094027,29154
3072,0093565,2039
3073,0059674,77915
3074,0068762,11943
3075,0059646,11481
3076,0057187,2690
3077,0164312,20565
3078,0165859,27141
3079,0178737,10399
3081,0162661,2668
3082,0143145,36643
3083,0185125,99
3086,0024852,25898
3087,0096061,9647
3088,0042546,11787
3089,0040522,5156
3090,0093509,24276
3091,0080979,11953
3093,0067411,29005
3094,0093512,26371
3095,0032551,596
3096,0050738,52470
3097,0033045,20334
3098,0087781,11393
3099,0073692,31121
3100,0105265,293
3101,0093010,10998
3102,0089360,12235
3103,0100680,36094
3104,0095631,9013
3105,0099077,11005
3106,0099291,59820
3107,0101393,2924
3108,0101889,177
3109,0088007,38557
3111,0087921,13681
3112,0090556,34760
3113,0146675,9946
3114,0120363,863
3115,0155711,31582
3117,0134154,22267
3120,0104114,10411
3125,0172396,20024
3127,0144715,13787
3129,0158371,9684
3130,0099165,9586
3132,0010040,70801
3134,0028950,777
3135,0079239,21887
3138,0096171,32331
3141,0100828,32669
3142,0096328,18161
3143,0063056,31681
3145,0150216,32274
3146,0205000,10402
3147,0120689,497
3148,0124315,1715
3150,0141974,42739
3152,0067328,25188
3153,0051337,15515
3155,0166485,1439
3156,0182789,2277
3157,0164912,10137
3158,0162866,10387
3159,0120910,49948
3160,0175880,334
3161,0119079,30237
3162,0174204,50116
3163,0151568,46435
3165,0106455,22213
3167,0066892,36492
3168,0064276,624
3169,0087231,26578
3171,0053226,43103
3173,0146838,9563
3174,0125664,1850
3175,0177789,926
3176,0134119,1213
3177,0195945,10471
3178,0174856,10400
3179,0145653,10397
3181,0120866,12524
3182,0192335,28216
3183,0174268,36773
3185,0120834,10219
3186,0172493,3558
3189,0156812,17908
3190,0134983,10384
3192,0169302,48233
3194,0070903,10236
3196,0046359,632
3197,0095897,11851
3198,0070511,5924
3200,0070290,14886
3201,0065724,26617
3203,0097162,10493
3204,0077269,16241
3206,0086859,22160
3208,0107659,9644
3210,0083929,13342
3211,0094924,35119
3213,0106364,14919
3214,0088707,14040
3217,0029606,22692
3219,0100318,2990
3221,0083851,10831
3223,0090366,33078
3224,0058625,16672
3225,0186975,10472
3230,0071935,21489
3235,0081748,13005
3238,0120662,18681
3240,0156639,20468
3241,0201840,14521
3243,0104187,10406
3244,0076095,14741
3246,0104797,1883
3247,0105417,2005
3248,0108147,6279
3249,0104389,11087
3250,0106246,7305
3251,0088683,24735
3252,0105323,9475
3253,0105793,8872
3254,0108525,8873
3255,0104694,11287
3256,0105112,9869
3257,0103855,619
3258,0104070,9374
3259,0104231,11259
3260,0104454,8293
3261,0105415,11068
3262,0105665,1923
3263,0105812,10158
3264,0103893,10206
3265,0104684,11782
3266,0103905,10086
3267,0104815,9367
3268,0105477,9876
3269,0104291,10326
3270,0104040,16562
3271,0105046,9609
3272,0103759,12143
3273,0134084,4234
3274,0105414,9605
3275,0144117,8374
3276,0171356,29076
3280,0069754,28156
3281,0144801,113096
3283,0067433,24349
3284,0067848,27841
3285,0163978,1907
3286,0184907,15489
3287,0220099,15655
3289,0209189,36210
3294,0074455,30062
3295,0107920,62463
3296,0062376,25934
3298,0181984,14181
3299,0162983,10385
3300,0134847,2787
3301,0190138,2069
3302,0159272,61416
3303,0221023,79515
3306,0018773,28978
3307,0021749,901
3308,0087265,25010
3310,0012349,10098
3313,0084395,33374
3315,0043618,127602
3316,0184858,2155
3317,0185014,11004
3323,0194368,20682
3324,0186045,25166
3325,0156841,1831
3326,0181151,10416
3327,0218043,14271
3328,0165798,4816
3329,0094347,19958
3330,0055471,28569
3331,0085980,2193
3334,0040506,11016
3338,0097372,20423
3341,0042276,24481
3342,0086969,11296
3344,0056875,28172
3345,0062793,57855
3347,0086005,14280
3350,0055353,29478
3353,0218112,73642
3354,0183523,2067
3355,0142688,622
3357,0181530,28463
3358,0101698,12186
3359,0078902,20283
3360,0091217,5693
3361,0094812,287
3362,0072890,968
3363,0069704,838
3364,0042208,16958
3365,0049730,3114
3368,0051411,12501
3370,0094731,31618
3372,0064110,15873
3374,0104057,68427
3378,0118043,48213
3379,0053137,35412
3384,0072251,8333
3385,0090274,19259
3386,0102138,820
3387,0098645,11718
3388,0093148,8989
3389,0091400,32031
3390,0091934,58048
3391,0094321,26827
3392,0098309,11157
3393,0092834,28370
3394,0092666,918
3395,0093596,61178
3396,0079588,11176
3397,0082474,14900
3398,0087755,11899
3400,0108526,18890
3401,0088760,19736
3402,0090219,123047
3403,0081400,24575
3404,0046435,16535
3405,0051994,10971
3406,0043379,23928
3408,0195685,462
3409,0195714,9532
3410,0180181,117259
3412,0095800,2383
3414,0048316,53879
3415,0072443,1396
3417,0044517,11570
3418,0103074,1541
3420,0078718,17443
3421,0077975,8469
3422,0091939,27995
3423,0096054,36739
3424,0097216,925
3425,0100168,41823
3426,0102175,1713
3428,0078950,30547
3429,0099317,54825
3430,0071402,13939
3431,0082250,14373
3432,0089003,24873
3433,0092857,26263
3434,0109578,34746
3435,0036775,996
3436,0101787,9079
3438,0100758,1498
3439,0103060,1497
3440,0108308,1499
3441,0087985,1880
3442,0090693,33762
3444,0092675,11690
3445,0077530,29143
3446,0113133,35292
3447,0028944,36652
3448,0093105,801
3449,0095238,104301
3450,0107050,11520
3451,0061735,1879
3452,0165929,2085
3453,0195778,13539
3454,0202402,16222
3455,0146516,109479
3456,0191043,17078
3459,0091142,33516
3461,0057261,9960
3462,0027977,3082
3466,0107091,12187
3467,0057163,24748
3468,0054997,990
3469,0053946,1908
3470,0071411,9764
3471,0075860,840
3473,0074718,42237
3474,0117468,26689
3475,0043924,25673
3476,0099871,2291
3477,0112950,13531
3478,0093378,16620
3479,0089457,526
3480,0091445,13346
3481,0146882,243
3483,0138749,10501
3484,0192614,11478
3489,0102057,879
3492,0017416,85689
3494,0065126,17529
3496,0095564,118098
3497,0085919,1793
3498,0077928,11327
3499,0100157,1700
3500,0104928,54087
3501,0089643,34322
3502,0107630,41659
3503,0069293,593
3504,0074958,10774
3505,0093640,10083
3506,0079640,29786
3507,0063374,11356
3508,0075029,10747
3510,0186151,10559
3511,0217756,20697
3512,0122459,2621
3513,0160797,10479
3514,0172632,125709
3515,0183503,49721
3516,0051406,2006
3519,0077572,17339
3521,0097940,11305
3524,0082031,13665
3525,0086927,12309
3526,0098067,1552
3527,0093773,106
3528,0102713,10333
3529,0082934,11027
3531,0099014,123757
3534,0191754,10468
3535,0144084,1359
3536,0171433,4967
3537,0149367,31776
3538,0166175,10557
3539,0236216,27745
3543,0083833,13776
3544,0102898,26291
3545,0068327,10784
3546,0056687,10242
3548,0051383,16347
3549,0048140,4825
3550,0085701,11654
3551,0074860,10518
3552,0080487,11977
3553,0176783,18041
3554,0199725,14736
3555,0141926,3536
3556,0159097,1443
3557,0104549,10424
3559,0044837,28971
3563,0132910,9456
3564,0158622,889
3565,0198021,10564
3566,0189584,15723
3567,0180837,19600
3568,0162348,125537
3569,0154421,452
3571,0220100,36234
3572,0106521,39283
3573,0112634,65460
3574,0115834,55667
3576,0093185,12476
3577,0096324,5241
3578,0172495,98
3580,0153464,47724
3581,0188674,11129
3584,0085276,1058
3586,0080913,42159
3587,0080923,16395
3590,0071772,38925
3591,0085970,13105
3592,0084315,22501
3593,0185183,5491
3594,0210616,10560
3596,0156323,19419
3597,0174336,23531
3598,0171359,10688
3599,0037514,17889
3604,0056048,39391
3606,0041716,31516
3608,0089791,5683
3609,0181786,113279
3614,0104438,12518
3615,0130623,10567
3616,0217630,10642
3617,0215129,9285
3618,0196216,10569
3619,0080881,21879
3622,0066495,24918
3623,0120755,955
3624,0184894,8584
3625,0207998,47295
3626,0154443,11332
3627,0055830,16093
3628,0034742,29372
3629,0015864,962
3632,0039631,30588
3633,0064757,668
3634,0058576,23518
3635,0076752,691
3637,0089960,44018
3638,0079574,698
3639,0071807,682
3640,0050598,28973
3641,0014624,28974
3643,0036824,22994
3646,0208003,9600
3648,0050095,38006
3649,0080365,2768
3652,0081318,24920
3653,0060371,21
3654,0054953,10911
3655,0070130,10102
3658,0062168,26912
3660,0098143,26953
3661,0100438,26954
3662,0102728,26956
3663,0107899,26957
