movieId,title,genres
4016,Emperor's New Groove, The (2000),Adventure|Animation|Children|Comedy|Fantasy
4017,Pollock (2000),Drama
4018,What Women Want (2000),Comedy|Romance
4019,Finding Forrester (2000),Drama
4020,Gift, The (2000),Thriller
4021,Before Night Falls (2000),Drama
4022,Cast Away (2000),Drama
4023,Family Man, The (2000),Comedy|Drama|Romance
4024,House of Mirth, The (2000),Romance
4025,Miss Congeniality (2000),Comedy|Crime
4027,O Brother, Where Art Thou? (2000),Adventure|Comedy|Crime
4029,State and Main (2000),Comedy|Drama
4030,Dracula 2000 (2000),Horror
4031,All the Pretty Horses (2000),Drama|Romance|Western
4032,Everlasting Piece, An (2000),Comedy
4033,Thirteen Days (2000),Drama|Thriller|War
4034,Traffic (2000),Crime|Drama|Thriller
4035,Claim, The (2000),Romance|Western
4036,Shadow of the Vampire (2000),Drama|Horror
4037,House of Games (1987),Crime|Film-Noir|Mystery|Thriller
4039,Annie (1982),Children|Musical
4040,Don't Tell Mom the Babysitter's Dead (1991),Comedy
4041,Officer and a Gentleman, An (1982),Drama|Romance
4042,Alamo, The (1960),Action|Drama|War|Western
4043,At Close Range (1986),Crime|Drama
4046,Friendly Persuasion (1956),Drama
4047,Gettysburg (1993),Drama|War
4051,Horrors of Spider Island (Ein Toter Hing im Netz) (1960),Horror|Sci-Fi
4052,Antitrust (2001),Crime|Drama|Thriller
4053,Double Take (2001),Action|Comedy
4054,Save the Last Dance (2001),Drama|Romance
4055,Panic (2000),Drama
4056,Pledge, The (2001),Crime|Drama|Mystery|Thriller
4061,The Man in the Moon (1991),Drama|Romance
4062,Mystic Pizza (1988),Comedy|Drama|Romance
4063,Prelude to a Kiss (1992),Comedy|Drama|Romance
4064,Coffy (1973),Action|Crime|Thriller
4065,Foxy Brown (1974),Action|Crime|Drama
4066,I'm Gonna Git You Sucka (1988),Action|Comedy
4067,Untamed Heart (1993),Drama|Romance
4068,Sugar & Spice (2001),Comedy
4069,Wedding Planner, The (2001),Comedy|Romance
4074,Legend of Rita, The (Stille nach dem Schuß, Die) (1999),Drama
4077,With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000),Drama|Thriller
4078,Amazing Grace and Chuck (1987),Drama
4079,Amazon Women on the Moon (1987),Comedy|Sci-Fi
4080,Baby Boom (1987),Comedy
4081,Back to the Beach (1987),Comedy
4082,Barfly (1987),Comedy|Drama|Romance
4083,Best Seller (1987),Thriller
4084,Beverly Hills Cop II (1987),Action|Comedy|Crime|Thriller
4085,Beverly Hills Cop (1984),Action|Comedy|Crime|Drama
4086,Big Easy, The (1987),Action|Crime|Mystery|Romance|Thriller
4089,Born in East L.A. (1987),Comedy
4090,Brave Little Toaster, The (1987),Animation|Children
4091,Can't Buy Me Love (1987),Comedy|Romance
4092,Cherry 2000 (1987),Romance|Sci-Fi
4093,Cop (1988),Thriller
4102,Eddie Murphy Raw (1987),Comedy|Documentary
4103,Empire of the Sun (1987),Action|Adventure|Drama|War
4104,Ernest Goes to Camp (1987),Comedy
4105,Evil Dead, The (1981),Fantasy|Horror|Thriller
4109,Flowers in the Attic (1987),Drama|Thriller
4110,Fourth Protocol, The (1987),Thriller
4111,Gardens of Stone (1987),Drama|War
4113,Glass Menagerie, The (1987),Drama
4115,Hiding Out (1987),Comedy
4116,Hollywood Shuffle (1987),Comedy
