movieId,imdbId,tmdbId
97188,1922777,82507
97194,0376921,92171
97225,0837562,76492
97230,2014338,110354
97285,0054325,71723
97304,1024648,68734
97306,1931533,86838
97328,1872818,84306
97470,1886493,75736
97643,1649444,80280
97665,1597522,99770
97701,2109184,82990
97742,1712170,94348
97752,1371111,83542
97757,0424755,72867
97785,0938330,61012
97836,1648179,87826
97858,1655416,126797
97860,1764234,64689
97866,1966604,84287
97870,1866249,113947
97904,2063781,84341
97913,1772341,82690
97921,1045658,82693
97923,1907668,87502
97936,1781769,96724
97938,0454876,87827
97950,1258972,97430
97988,1713476,123105
98061,1900893,98631
98083,1753968,65851
98122,1942884,80215
98124,2313197,123025
98154,0443272,72976
98160,1493157,135708
98175,1545106,73935
98203,1673434,50620
98230,1715873,58547
98239,1234719,60747
98243,1446192,81188
98279,2006040,101519
98296,1667310,97614
98361,1531901,102780
98491,2388725,140420
98499,0079315,19274
98503,0080623,18867
98585,0975645,112336
98604,1798188,83389
98607,1483797,71883
98623,0086605,25539
98633,0089177,10044
98697,0066798,34280
98799,1979172,110392
98809,0903624,49051
98836,1477855,87504
98908,1241017,40722
98961,1790885,97630
99005,1925431,139567
99007,1588173,82654
99030,1901040,83186
99087,1540128,77875
99106,1694020,82687
99112,0790724,75780
99114,1853728,68718
99117,1758830,89492
99122,0097550,41153
99130,0113376,44470
99145,1649419,80278
99149,1707386,82695
99191,0115813,16315
99415,1047540,88042
99437,1783732,75761
99532,0230534,193380
99574,2091473,133694
99636,2181931,118628
99638,1244666,38010
99721,1572315,76617
99728,1321870,82682
99750,1491044,68812
99764,2396224,147538
99813,2166834,142061
99846,2366308,135921
99853,1762248,105538
99910,1549920,76640
99917,2084989,145197
99992,1770734,84336
100044,1806234,69372
100068,1911553,85872
100083,1333125,87818
100106,2152198,128190
100159,2023690,117974
100163,1428538,60304
100194,2274356,146837
100226,1853643,118677
100277,2153963,93858
100302,1374992,58244
100304,2081437,162145
100306,0165623,18912
100326,1389096,121824
100383,2053463,109421
100390,2024432,109431
100397,1935896,87436
100487,1559547,109491
100498,1606378,47964
100507,1711425,107811
100527,1702439,112949
100553,2092588,134481
100556,2375605,123678
100579,1659343,122857
100611,0765446,68179
100714,2209418,132344
100737,0882977,134411
100810,2387433,145135
100843,1954701,130739
100882,2017561,170657
100906,0100107,28090
101025,1351685,81005
101070,2258858,129112
101072,1663636,59255
101074,0051850,43650
101076,1583421,72559
101088,1682180,86825
101112,1623205,68728
101142,0481499,49519
101283,0790628,124459
101360,1911644,158011
101362,2302755,117263
101415,1763303,84199
101423,0427531,55892
101525,1817273,97367
101529,1935902,127867
101531,1745862,173153
101577,1517260,72710
101612,1814621,144340
101739,1288558,109428
101741,1924429,68727
101765,1986843,133698
101864,1483013,75612
101884,1507563,59963
101895,0453562,109410
101962,2140203,110420
101973,1433811,127517
102007,0903135,13647
102025,0061549,42699
102033,1980209,134374
102058,1325753,15257
102066,1977895,121606
102070,1525366,84204
102084,2027128,76589
102088,1462900,44865
102123,1245492,109414
102125,1300854,68721
102165,2055765,174321
102194,1935179,103731
102217,0152183,25117
102278,1551630,165739
102338,0075202,45736
102378,0762138,72525
102407,1343092,64682
102445,1408101,54138
102481,2234155,116741
102590,0462246,16150
102602,0076391,27861
102666,0070233,20803
102684,1602613,77987
102686,1951261,109439
102716,1905041,82992
102720,0848537,116711
102735,0078937,197467
102742,0389448,86282
102747,0007264,2077
102749,0078938,197481
102760,1489167,42151
102800,2347569,121986
102802,1731697,104755
102819,1291580,119675
102823,0262240,130824
102852,1091863,86843
102880,1815862,82700
102903,1670345,75656
102984,1857842,133463
102993,1727388,147773
103027,2094064,91739
103042,0770828,49521
103048,2179116,156700
103075,2184339,158015
103085,1879032,174188
103107,2396566,159014
103137,2132285,96936
103141,1453405,62211
103171,1978524,160085
103210,1776196,80518
103219,2103217,103620
103221,1935065,120292
103228,1663662,68726
103233,2465238,177271
103235,1924396,152742
103245,0391728,53928
103249,0816711,72190
103253,1535108,68724
103335,1690953,93456
103339,2334879,117251
103341,1213663,107985
103366,1893256,136418
103372,2404463,136795
103384,1210819,57201
103449,1829012,109099
103483,2450186,159117
103502,1877797,136386
103539,1714206,157386
103543,2265534,157375
103596,2724064,205321
103602,2523852,178946
103606,2205697,111969
103609,0103978,30963
103624,2334649,157354
103655,0790736,49524
103685,2375574,179111
103688,1457767,138843
103755,1860353,77950
103772,1430132,76170
103801,2265398,172533
103810,1821694,146216
103819,2234025,198062
103865,2053423,192126
103883,1272878,136400
103980,2334873,160588
103984,2358891,179144
104017,0181947,58447
104069,2510998,185574
104074,1854564,76285
104076,2017020,77931
104078,0469021,177699
104129,2016940,76544
104141,0346578,21683
104211,1723121,138832
104218,2191701,109418
104241,1650554,59859
104243,1411250,87421
104245,1691917,151960
104272,2545118,158999
104283,2013293,149870
104303,2357129,115782
104337,1327773,132363
104339,2294677,157360
104374,2194499,122906
104419,1494772,30061
104457,1853739,83899
104644,2546038,147129
104760,2167202,146227
104780,0211653,49802
104837,0093820,17282
104841,1454468,49047
104863,1486834,212716
104875,2245195,115199
104879,1392214,146233
104906,1985019,156711
104908,2226417,91586
104913,1979320,96721
104925,2404311,112205
104944,2370248,169813
105020,0097081,102059
105037,1758795,129139
105121,1844203,121676
105197,1821549,129670
105211,2390361,209263
105213,2229499,138697
105246,2027140,157820
105250,0432232,51452
105254,2332579,157409
105325,2274570,172828
105351,2364841,146238
105355,2278871,152584
105468,1985966,109451
105504,1535109,109424
105540,0166960,51985
105585,2002718,106747
105593,1450321,85889
105653,1211956,107846
105720,0062457,55370
105731,1939659,133805
105746,2708946,173495
105755,2193215,109091
105801,2187884,158752
105835,1825157,146015
105844,2024544,76203
105954,2017038,152747
106002,1731141,80274
106062,3063516,208134
106072,1981115,76338
106100,0790636,152532
106144,2304426,194101
106330,1204975,137093
106438,2431286,205220
106441,0816442,203833
106487,1951264,101299
106489,1170358,57158
106491,1335975,64686
106540,2387559,146239
106542,1196948,41602
106594,2147048,137312
106642,2779318,253941
106648,1743724,80662
106696,2294629,109445
106766,2042568,86829
106782,0993846,106646
106785,2312718,204082
106839,2304771,192136
106873,0860907,75629
106883,1462901,174311
106889,3089388,212063
106916,1800241,168672
106918,0359950,116745
106920,1798709,152601
106927,1381512,39260
107013,0188504,45697
107069,1091191,193756
107141,2140373,140823
107159,0130377,40897
107314,1321511,87516
107338,2969050,209232
107348,1229340,109443
107406,1706620,110415
107408,0070861,37129
107410,0086723,20894
107412,0060584,20878
107436,2345567,166271
107447,2166616,158990
107449,1292569,27190
107462,2458106,180894
107565,2987732,233063
107630,1247667,27584
107702,1661382,64807
107723,0465657,13194
107771,1714915,152603
107780,2227830,230657
107846,0110420,13632
107945,1847548,122796
107951,2295196,204810
107953,2263944,126963
107962,2325002,243531
107997,2309021,159128
107999,0142244,39102
108078,1937118,206408
108090,0142250,39148
108156,1408253,168530
108188,1205537,137094
108190,1840309,157350
108192,1094249,6418
108540,1816518,126319
108601,1714833,137968
108689,1418377,100241
108715,1609479,157099
108727,1937390,110414
108729,2316411,181886
108795,1186373,15359
108928,2177771,152760
108932,1490017,137106
108945,1234721,97020
108949,2172985,209247
108981,2382009,249397
109042,1545660,74461
109161,2406252,197082
109183,1878942,99367
109187,2333804,157834
109191,1837709,137321
109241,1937133,146375
109282,1559038,103732
109295,2511428,210047
109313,0328955,17684
109317,1978532,249923
109372,1826590,222899
109374,2278388,120467
109383,2073520,84319
109416,1349482,21474
109483,1800246,225565
109487,0816692,157336
109569,2172934,192102
109576,2193265,205724
109578,2024469,225574
109596,1407052,85444
109633,2591814,198375
109673,1253863,53182
109687,1385956,202141
109723,2212008,242076
109846,0864835,82703
109848,1441395,97370
109850,2369135,136797
109853,2355495,242042
109864,2771372,177494
109895,2170299,209403
109897,3210686,235260
109941,2268617,83201
109968,2409302,134350
109971,2955316,236737
110102,1843866,100402
110127,1959490,86834
