movieId,title,genres,director,casts
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,Tom Hanks| Tim Allen| Don Rickles| Jim Varney
2,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,Robin Williams| Jonathan Hyde| Kirsten Dunst| Bradley Pierce
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,Walter Matthau| Jack Lemmon| Sophia Loren| Ann-Margret
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,Whitney Houston| Angela Bassett| Loretta Devine| Lela Rochon
5,Father of the Bride Part II (1995),Comedy,Charles Shyer,Steve Martin| Diane Keaton| Martin Short| Kimberly Williams-Paisley
6,Heat (1995),Action|Crime|Thriller,Michael Mann,Al Pacino| Robert De Niro| Val Kilmer| Jon Voight
7,Sabrina (1995),Comedy|Romance,Sydney Pollack,Harrison Ford| Julia Ormond| Greg Kinnear| Nancy Marchand
8,Tom and Huck (1995),Adventure|Children,Peter Hewitt,Jonathan Taylor Thomas| Brad Renfro| Eric Schweig| Charles Rocket
9,Sudden Death (1995),Action,Peter Hyams,Jean-Claude Van Damme| Powers Boothe| Raymond J
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,Pierce Brosnan| Sean Bean| Izabella Scorupco| Famke Janssen
11,American President, The (1995),Comedy|Drama|Romance,Rob Reiner,Michael Douglas| Annette Bening| Martin Sheen| Michael J
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,Leslie Nielsen| Peter MacNicol| Steven Weber| Amy Yasbeck
13,Balto (1995),Adventure|Animation|Children,Simon Wells,Kevin Bacon| Bob Hoskins| Bridget Fonda| Jim Cummings
14,Nixon (1995),Drama,Oliver Stone,Anthony Hopkins| Joan Allen| Powers Boothe| Ed Harris
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,Geena Davis| Matthew Modine| Frank Langella| Maury Chaykin
16,Casino (1995),Crime|Drama,Martin Scorsese,Robert De Niro| Sharon Stone| Joe Pesci| James Woods
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,James Fleet| Tom Wilkinson| Harriet Walter| Kate Winslet
18,Four Rooms (1995),Comedy,Allison Anders| Alexandre Rockwell| Robert Rodriguez| Quentin Tarantino| Chuck Jones,Sammi Davis| Amanda De Cadenet| Valeria Golino| Madonna
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,Jim Carrey| Ian McNeice| Simon Callow| Maynard Eziashi
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,Wesley Snipes| Woody Harrelson| Jennifer Lopez| Robert Blake
21,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,John Travolta| Gene Hackman| Rene Russo| Danny DeVito
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,Sigourney Weaver| Holly Hunter| Dermot Mulroney| William McNamara
23,Assassins (1995),Action|Crime|Thriller,Richard Donner,Sylvester Stallone| Antonio Banderas| Julianne Moore| Anatoli Davydov
24,Powder (1995),Drama|Sci-Fi,Victor Salva,Mary Steenburgen| Sean Patrick Flanery| Lance Henriksen| Jeff Goldblum
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,Nicolas Cage| Elisabeth Shue| Julian Sands| Richard Lewis
26,Othello (1995),Drama,Oliver Parker,Laurence Fishburne| Irène Jacob| Kenneth Branagh| Nathaniel Parker
27,Now and Then (1995),Children|Drama,Lesli Linka Glatter,Christina Ricci| Rosie O'Donnell| Thora Birch| Melanie Griffith
28,Persuasion (1995),Drama|Romance,Roger Michell,Amanda Root| Ciarán Hinds| Susan Fleetwood| Corin Redgrave
29,City of Lost Children, The (Cité des enfants perdus, La) (1995),Adventure|Drama|Fantasy|Mystery|Sci-Fi,Marc Caro| Jean-Pierre Jeunet,Ron Perlman| Daniel Emilfork| Judith Vittet| Dominique Pinon
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yimou Zhang,Gong Li| Baotian Li| Xiaoxiao Wang| Xuejian Li
31,Dangerous Minds (1995),Drama,John N. Smith,Michelle Pfeiffer| George Dzundza| Courtney B
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Terry Gilliam,Joseph Melito| Bruce Willis| Jon Seda| Michael Chance
34,Babe (1995),Children|Drama,Chris Noonan,Christine Cavanaugh| Miriam Margolyes| Danny Mann| Hugo Weaving
36,Dead Man Walking (1995),Crime|Drama,Tim Robbins,Susan Sarandon| Sean Penn| Robert Prosky| Raymond J
38,It Takes Two (1995),Children|Comedy,Andy Tennant,Kirstie Alley| Steve Guttenberg| Mary-Kate Olsen| Ashley Olsen
39,Clueless (1995),Comedy|Romance,Amy Heckerling,Alicia Silverstone| Stacey Dash| Brittany Murphy| Paul Rudd
40,Cry, the Beloved Country (1995),Drama,Darrell Roodt,James Earl Jones| Richard Harris| Vusi Kunene| Charles S
41,Richard III (1995),Drama|War,Richard Loncraine,Christopher Bowen| Edward Jewesbury| Ian McKellen| Bill Paterson
42,Dead Presidents (1995),Action|Crime|Drama,Albert Hughes| Allen Hughes,Larenz Tate| Keith David| Chris Tucker| Freddy Rodríguez
43,Restoration (1995),Drama,Michael Hoffman,Robert Downey Jr
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Paul W.S. Anderson,Christopher Lambert| Robin Shou| Linden Ashby| Cary-Hiroyuki Tagawa
45,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,Nicole Kidman| Matt Dillon| Joaquin Phoenix| Casey Affleck
46,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,Kaelynn Craddick| Sara Craddick| Kate Capshaw| Adam Baldwin
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,David Fincher,Morgan Freeman| Andrew Kevin Walker| Daniel Zacapa| Brad Pitt
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Mike Gabriel| Eric Goldberg,Joe Baker| Christian Bale| Irene Bedard| Billy Connolly
49,When Night Is Falling (1995),Drama|Romance,Patricia Rozema,Pascale Bussières| Rachael Crawford| Henry Czerny| David Fox
50,Usual Suspects, The (1995),Crime|Mystery|Thriller,Bryan Singer,Stephen Baldwin| Gabriel Byrne| Benicio Del Toro| Kevin Pollak
