movieId,title,genres
2661,It Came from Outer Space (1953),Sci-Fi
2662,War of the Worlds, The (1953),Action|Drama|Sci-Fi
2664,Invasion of the Body Snatchers (1956),Horror|Sci-Fi|Thriller
2665,Earth vs. the Flying Saucers (1956),Sci-Fi
2668,Swamp Thing (1982),Horror|Sci-Fi
2669,Pork Chop Hill (1959),War
2670,Run Silent Run Deep (1958),War
2671,Notting Hill (1999),Comedy|Romance
2672,Thirteenth Floor, The (1999),Drama|Sci-Fi|Thriller
2674,Loss of Sexual Innocence, The (1999),Drama|Fantasy
2676,Instinct (1999),Drama|Thriller
2677,Buena Vista Social Club (1999),Documentary|Musical
2681,Free Enterprise (1998),Comedy|Romance|Sci-Fi
2682,Limbo (1999),Drama
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
2686,Red Violin, The (Violon rouge, Le) (1998),Drama|Mystery
2687,Tarzan (1999),Adventure|Animation|Children|Drama
2688,General's Daughter, The (1999),Crime|Drama|Mystery|Thriller
2690,Ideal Husband, An (1999),Comedy|Romance
2691,Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998),Drama
2692,Run Lola Run (Lola rennt) (1998),Action|Crime
2693,Trekkies (1997),Documentary
2694,Big Daddy (1999),Comedy
2695,Boys, The (1998),Drama
2696,Dinner Game, The (Dîner de cons, Le) (1998),Comedy
2697,My Son the Fanatic (1997),Comedy|Drama|Romance
2698,Zone 39 (1997),Sci-Fi
2699,Arachnophobia (1990),Comedy|Horror
2700,South Park: Bigger, Longer and Uncut (1999),Animation|Comedy|Musical
2701,Wild Wild West (1999),Action|Comedy|Sci-Fi|Western
2702,Summer of Sam (1999),Drama
2706,American Pie (1999),Comedy|Romance
2707,Arlington Road (1999),Thriller
2708,Autumn Tale, An (Conte d'automne) (1998),Romance
2709,Muppets From Space (1999),Children|Comedy
2710,Blair Witch Project, The (1999),Drama|Horror|Thriller
2712,Eyes Wide Shut (1999),Drama|Mystery|Thriller
2713,Lake Placid (1999),Horror|Thriller
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
2717,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
2718,Drop Dead Gorgeous (1999),Comedy
2719,Haunting, The (1999),Horror|Thriller
2720,Inspector Gadget (1999),Action|Adventure|Children|Comedy
2722,Deep Blue Sea (1999),Action|Horror|Sci-Fi|Thriller
2723,Mystery Men (1999),Action|Comedy|Fantasy
2724,Runaway Bride (1999),Comedy|Romance
2725,Twin Falls Idaho (1999),Drama
2726,Killing, The (1956),Crime|Film-Noir
2727,Killer's Kiss (1955),Crime|Film-Noir
2728,Spartacus (1960),Action|Drama|Romance|War
2729,Lolita (1962),Drama|Romance
2730,Barry Lyndon (1975),Drama|Romance|War
2731,400 Blows, The (Les quatre cents coups) (1959),Crime|Drama
2732,Jules and Jim (Jules et Jim) (1961),Drama|Romance
2733,Vibes (1988),Adventure|Comedy|Romance
2734,Mosquito Coast, The (1986),Adventure|Drama|Thriller
2735,Golden Child, The (1986),Action|Adventure|Comedy|Fantasy|Mystery
2736,Brighton Beach Memoirs (1986),Comedy
2737,Assassination (1987),Action|Drama|Thriller
2738,Crimes of the Heart (1986),Comedy|Drama
2739,Color Purple, The (1985),Drama
2740,Kindred, The (1986),Horror|Sci-Fi
2741,No Mercy (1986),Action|Crime|Thriller
2742,Ménage (Tenue de soirée) (1986),Comedy|Drama
2743,Native Son (1986),Drama
2744,Otello (1986),Drama
2745,Mission, The (1986),Drama
2746,Little Shop of Horrors (1986),Comedy|Horror|Musical
2747,Little Shop of Horrors, The (1960),Comedy|Horror
2748,Allan Quatermain and the Lost City of Gold (1987),Action|Adventure|Comedy
2749,Morning After, The (1986),Drama|Mystery
2750,Radio Days (1987),Comedy|Drama
2751,From the Hip (1987),Comedy|Drama
2752,Outrageous Fortune (1987),Comedy|Mystery
2754,Deadtime Stories (1987),Horror
2757,Frances (1982),Drama
2759,Dick (1999),Comedy
2761,Iron Giant, The (1999),Adventure|Animation|Children|Drama|Sci-Fi
2762,Sixth Sense, The (1999),Drama|Horror|Mystery
2763,Thomas Crown Affair, The (1999),Action|Mystery
2764,Thomas Crown Affair, The (1968),Crime|Drama|Romance|Thriller
2765,Acid House, The (1998),Comedy|Drama
2766,Adventures of Sebastian Cole, The (1998),Comedy|Drama
2769,Yards, The (2000),Crime|Drama
2770,Bowfinger (1999),Comedy
2771,Brokedown Palace (1999),Drama
2772,Detroit Rock City (1999),Comedy
2774,Better Than Chocolate (1999),Comedy|Romance
2775,Head On (1998),Drama
2779,Heaven Can Wait (1978),Comedy
2782,Pit and the Pendulum (1961),Horror
2784,Masque of the Red Death, The (1964),Horror
2786,Haunted Honeymoon (1986),Comedy
2787,Cat's Eye (1985),Horror
2788,Monty Python's And Now for Something Completely Different (1971),Comedy
2789,Damien: Omen II (1978),Horror
2790,Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981),Horror|Thriller
2791,Airplane! (1980),Comedy
2792,Airplane II: The Sequel (1982),Comedy
2793,American Werewolf in Paris, An (1997),Comedy|Horror|Romance|Thriller
2794,European Vacation (aka National Lampoon's European Vacation) (1985),Adventure|Comedy|Romance
2795,National Lampoon's Vacation (1983),Comedy
2796,Funny Farm (1988),Comedy
2797,Big (1988),Comedy|Drama|Fantasy|Romance
2798,Problem Child (1990),Children|Comedy
